# ID cnt   CRN,Sec,Days,Time,Cap,Act,WLCap,WLAct...
CSC226,4
10770,A01,MoTh  ,1300-1420, 80, 59,100,  0
10772,B01,Mo    ,1200-1250, 32, 32, 10,  0
10774,B03,Mo    ,1430-1520, 32, 32, 10,  0
10775,B04,Tu    ,1230-1320, 32, 24, 10,  0

SENG265,6
12766,A01,MoTh  ,1000-1120,110, 52,100,  0
12769,B01,Mo    ,1200-1320, 35, 11, 10,  0
12770,B02,Mo    ,1400-1520, 35,  8, 10,  0
12771,B03,We    ,1630-1750, 35, 19, 10,  0
12772,B04,Th    ,1130-1250, 35, 24, 10,  0
12773,B05,Th    ,1300-1420, 35, 15, 10,  0

STAT260,1
12984,A02,TuWeFr,1230-1320,200, 69, 30,  0

MATH204,3
12124,A01,TuWeFr,0830-0920,140, 72,100,  0
12125,T01,Th    ,1530-1620, 70, 56, 25,  0
12126,T02,Th    ,1630-1720, 70,  9, 25,  0

CSC320,4
10789,A01,MoTh  ,1130-1250,120, 60,100,  0
10791,T01,Tu    ,1230-1320, 60, 50, 50,  0
10792,T02,We    ,1230-1320, 60, 22, 50,  0
10793,T03,We    ,1330-1420, 60, 13, 50,  0

CSC360,4
10808,A01,MoTh  ,0830-0950, 80, 79,100, 37
10810,T01,Tu    ,1330-1420, 60, 28,100,  0
10811,T02,Fr    ,1230-1320, 60, 60,100,  3
10812,T03,We    ,1330-1420, 60, 59,100,  5
