# ID cnt   CRN,Sec,Days,Time,Cap,Act,WLCap,WLAct...
MATH204,6
21983,A01,MoTh  ,0830-0950,200, 15, 50,  0
21985,A03,TuWeFr,1330-1420,140, 16,100,  0
21986,T01,Th    ,1530-1620, 80, 12,100,  0
21987,T02,Th    ,1630-1720, 80,  3,100,  0
21988,T03,Fr    ,1430-1520, 80,  6,100,  0
21989,T04,Fr    ,1530-1620,100,  5,100,  0

MATH212,1
21993,A01,TuWeFr,1230-1320, 50, 37,100,  0

MATH322,1
21998,A01,TuWeFr,1330-1420, 40, 40,100,  0

CSC320,3
20748,A01,TuWeFr,1130-1220, 75, 75,100, 51
10750,T01,Tu    ,1230-1320, 60, 59,100, 28
10751,T02,Tu    ,1330-1420, 60, 60,100,  7

CSC330,1
20753,A01,MoTh  ,1630-1750,100, 99,100, 43

CSC360,3
20757,A01,TuWeFr,0930-1020,120,102,100,  0
10759,T01,We    ,1030-1120, 60, 58,100,  6
10760,T02,We    ,1230-1320, 60, 49,100,  6
